user_id,age,home_airport,home_city,frequent_flyer,preferred_airlines,preferred_cabin,price_sensitivity,direct_preference,max_layover_minutes,date_flexibility_days,multi_city_tendency,trip_purpose,preferred_departure,baggage_preference,seasonal_pattern,raw_history
U01,24,CPT,Cape Town,AAdvantage,AA,Business,low,strong,120,1,medium,business,morning,carry-on only,"year-round, avoids holidays","always book business, hate connections | redeyes kill my mornings, avoid if possible | aisle seat, front of cabin"
U02,53,MEX,Mexico City,none,SQ;BA,Economy,high,none,420,7,low,leisure,any,1 checked,"flexible, chases cheap fares","ok with redeye if it's cheaper | cheapest fare wins, dont care about stops | no loyalty, whatever's cheapest | booked SQ last min for a steal | took a 7hr layover in SIN to save $120"
U03,42,AMS,Amsterdam,none,KL;JL;CX,Economy,medium,strong,150,5,low,leisure,morning,2 checked + stroller,"school holidays only (jul-aug, dec)","need 2 checked bags + stroller | school breaks only so dates are fixed-ish | traveling w/ 2 kids, direct is worth paying for | prefer JL, kids fly free promo once | morning departures, kids melt down at night"
U04,51,MEL,Melbourne,none,JL,Economy,high,moderate,300,21,high,mixed,any,carry-on only,shoulder season to dodge crowds/prices,"multi-city all the time, HKG-ICN-somewhere | carry-on only, live out of a backpack | value matters but i'll pay to skip a 10hr layover"
U05,24,LIS,Lisbon,Miles & More,LH,First,none,strong,90,4,medium,leisure,any,3 checked,"peak season, comfort over cost","happy in peak season, money's not the constraint | first or business only, comfort over cost | direct whenever it exists | spa lounge, chauffeur transfer, the works"
U06,66,MAA,Chennai,none,SQ;QR,Economy,high,none,480,30,high,leisure,any,carry-on only,"summer break, rock-bottom fares","huge date flexibility, whole summer free | multi-city euro trip planned | 2 stops fine, even overnight layovers | no bags beyond a backpack | broke student, absolute cheapest only"
U07,45,DEL,Delhi,AAdvantage,AA;KE,Premium Economy,medium,moderate,240,14,medium,leisure,morning,2 checked,"avoids peak, prefers shoulder",avoid holiday crowds and prices | like KE but open to alternatives | retired so dates are flexible
U08,35,GIG,Rio de Janeiro,AAdvantage,AA;BA;NH,Business,medium,strong,100,2,high,business,evening,carry-on only,year-round weekly travel,"multi-city client hops, DXB is my connection base | evening departures after meetings | AAdvantage status, stick to alliance"
U09,59,SYD,Sydney,none,NH,Economy,medium,moderate,200,3,low,mixed,any,1 checked,"event-driven, fixed dates","flew NH to SFO for a festival last yr | moderate budget, will pay a bit for convenience | dates locked to a conference/wedding | whatever airline fits the schedule"
U10,28,FCO,Rome,none,QF,Economy,medium,strong,90,10,low,leisure,morning,1 checked,flexible but nervous about tight connections,"no loyalty yet | scared of missing connections, short layovers stress me | new to flying, want it simple and direct"
